Employee_ID,Basic_Salary,HRA,Other_Allowances,Income_Tax,Employee_Provident_Fund,Professional_Tax,Bonuses,Overtime,Deductions,Medical_Allowance,Travel_Allowance,Leave_Encashment
1,-50000,10000,5000,5000,3000,200,1000,500,100,2000,1000,1500
2,55000,11000,5500,5500,3200,220,1100,550,110,2200,1100,1650
3,60000,12000,6000,6000,3400,240,1200,600,120,2400,1200,1800
4,45000,9000,4500,4500,2800,180,900,450,90,1800,900,1350
5,52000,10000,5200,5200,3100,210,1000,520,100,2100,1000,1550
6,47000,9500,4700,4700,2900,190,950,470,95,1900,950,1425
7,56000,10500,5600,5600,3300,230,1050,560,105,2300,1050,1575
8,59000,11000,5900,5900,3500,250,1100,590,110,2500,1100,1650
9,61000,11500,6100,6100,3600,260,1150,610,115,2600,1150,1725
10,53000,10750,5300,5300,3400,240,1075,530,107,2400,1075,1612
